Abstract,GreenV
"process preparing polymer solution use ""polymer based"" oil recovery comprises adding water form aqueous dry particulate solid suspension nonaqueous liquid also complexing agent multivalent ions formed already contain alkali metal salt subsequently incorporating therein may substantially cellfree microbial polysaccharide gum polyacrylamide cellulose derivative",1
recycling kiosk financial remuneration submission electronic device disclosed herein includes inspection area preferably two mirrored domed hemispheres positioned transparent table cameras imaging placed also processor display user interface,1
system method apparatus provided identifies recycling environmentally beneficial activities provides user easily understood data environmental impact measured may used provide incentives credits online applications positions leaderboard identification achievements social networking sites financial rewards,1
various embodiments kiosks purchasing mobile phones electronic devices users disclosed herein include apparatus turn phone inspection surface enable kiosk visually inspect front back sides device system eg imaging lighting etc positioned eliminate need position second transparent side also includes wireless charging used identification,1
present invention teaches economical disposable emergency cellular telephone major object shocking selfdefense capability cell phone launches projectiles deliver voltage new technique large number phones share small group access numbers serial order reduce monthly charges zero end consumer makes practical use data transmission monitoring applications,1
recycling kiosk financial remuneration submission electronic device mobile phone disclosed herein includes electrical connectors inspection area upper chamber lower transparent plate least one camera order perform visual analysis determination value also processor display user interaction,1
wireless telephone includes chipset controller radio frequency electronics voice recognition module ported input key cooperates activate set functions simplifies operation decrease number components needed interaction dimensions roughly standard credit card encapsulated body filled material fills voids,1
mobile phone comprises stationary programmable nonchangeable number serves calling contact light emitting diode display selfconstructing writing device calls switch receives call transmits code representation independent functional state form check card claim included method communication sender receiver,1
monitoring network vehicle comprises hub memory disposed least one recycled smartphone significant location app resides,1
invention relates technical field electronic products particularly discloses easytodraw glue mounting structure equipment wherein comprises device shell first bin second arranged parallel communication gap communicating glues including handle portion viscose located storehouse runs intercommunication breach extends provides adhesive advantages small thickness easiness pulling,1
present invention teaches economical disposable emergency cellular telephone major object providing selfdefense capability user generating high voltage shocks cell phone launches projectiles deliver shocking new technique large number phones share small group access numbers serial order reduce monthly charges zero end consumer makes practical use data transmission monitoring applications,1
disposable wireless communication system disclosed features capabilities telephone freedom expensive service contracts user obtains unit predetermined usage period set upon expiration simply discards,1
invention discloses spare mobile phone simple structure situated standby backup state long time includes circuit board installed casing electrically coupled least one antenna module telecom signal processing sim card connecting microprocessor keys battery installing default commercial specification,1
case pdas disclosed particularly suitable maintaining mobile telephones free infectious agents includes barrier material defining body configured enclose pda least one fastener wherein convert relaxed configuration facilitates transfer fitted conforms closely enclosed therein b reversibly retain c effective prevent viruses bacteria penetrating therethrough,1
cordless portable telephone including memory storing count initially corresponds predetermined number call units means decrementing owner makes calls inhibiting reduced zero longer used,1
window panel recycling equipment may include first cleaning pad assembly driving member rotating solution supplying coupled cylindrical shape plurality pores defined therein,1
operator installs custom program device records imei number five touches,1
present invention provides systems methods producing using manufacturing promotional item phone card device capable emitting preprogrammed series dualtone multifrequency dtmf tones specific time invoked user dial telephone number invoke longdistance carrier call help customer service numbers activate calling,1
method apparatus disposable mobile communication device destructively removable radio module include frame coupled irreplaceably audio input output power supply antenna baseband processing,1
presented manufacturing systems methods devices forming footwear using scrap waste plastic materials method article athletic shoe begins receiving batch recycled may include thermoplastic elastomers ethylenevinyl acetate grinding material ground processed example adding foaming agent activates elevated temperatures placed internal cavity final mold shaped like segment unitary sole structure form heated past threshold activation temperature causes expand fill formed extracted,1
method manufacturing bulked continuous carpet filament recycled polymer various embodiments includes reducing material flakes cleansing melting melt removing water contaminants dividing plurality streams exposing pressures millibars another predetermined pressure recombining using resulting purified produce,1
method manufacturing recycled prepreg material dw strip form composed fibre sections embedded resin matrix described according charge flat scraps starting supplied recording overall area fragmented means cutting obtain cut fragments predetermined size backing sw protective pw distributed random manner feeding speed adjusted depending recorded input substantially homogeneous layer arranged whole assembly compacted,1
method manufacturing plurality colors bulked continuous carpet filament single multiscrew extruder various embodiments comprises passing pet melts purifies resulting polymer melt b adding liquid colorant using metering system c one static mixers eg forty substantially uniformly mix homogeneously feed mixed colored spinning machines turns use rugs products,1
thermosetting resins composites comprising hotformable compositions result contacting least one resin precursor hardener selected acid anhydrides presence transesterification catalyst includes hydroxyl functions andor epoxy groups optionally ester total molar quantity contained methods manufacturing articles recycling also disclosed,1
method recycling polymers plastics comprises grinding recycled pet bottles suitable polymer group flakes b washing c identifying removing impurities including impure passing mrs extruder maintaining pressure within portion millibars e resulting melt least one filter micron rating less microns f preparing new product various embodiments process may utilized example polytrimethylene terephthalate ptt polypropylene polyvinyl chloride pvc highdensity polyethylene hdpe polystyrene ps expanded eps plastic,1
recovered disc structure plural substrates bonded together adhesive recycled end provided recycling method wherein containing material least one coating film reflective recording protective ink deposited substrate addition used bonding plurality starting preparing flame retardant resin composition molded product,1
recycling system present invention collecting subject contains plastics market reprocessing thereby produce recycled product line spectrum radiation radiates light receiving ultraviolet rays electromagnetic wave recycle information particular identified basis wavelengths radiated,1
provided process preparing artificial marble plate reutilizing waste materials defective goods conventional industrial highly lighttransmissive polymethylmethacrylate based sheets remnants produced productprocessing like including lcd light guide panels refractive index excellent optical characteristics wherein polymer average molecular weight,1
composite structure based sandwich construction onestep molding process component comprises core layer two outer layers side may composed automotive interior trim scrap adhered isocyanate adhesive composition thermally pressed single step form finished structural multilayer product decorative added part resulting panels used manufacture furniture components,1
method manufacturing shoe outsoles waste plant fibers includes steps bleaching fiber powders activating graft reaction process mixing recycle rubber enhance physical properties adding homogenizing agent fully blend hydrophilic lipophilic form recycled material thermoplastic mixture aging time granulating producing outsole injection molding thus novel approach provided produce products plants improve environmental conservation protection,1
composite formulation consisting agglomerated industrialresidential sewer sludge recycled high density polyethylene hdpe andor polypropylene pp materials plastic act binder pozzolan produced batching process wherein sieved dried appropriate small cut pieces fed large extruder heated extruded specific structures also compounded using compression mold dry added chopped plastics heat mixed produce pellets directed create structural member predetermined shape,1
barrier includes recycled rubber portions binder molded around core infrastructure may include filler material form containment body baled waste barriers stacked connected structure useful environmental control applications method making molding,1
present invention relates process manufacturing formaldehydefree zerocarbonemission environmentfriendly plate made circuit board powder raw materials comprise isocyanate mold release agent water wood fiber carbon mixed together pressed form weight percentage high bubbles therein excellent waterproofing performance,1
mulch mat made recyclable material provided surface recycled rubber another weed inhibiting fabric extends least one edge provide overlapping area upon mats sits prevent grass plants growing,1
provided method recycling synthetic wood materials transformed relatively simple without performing elimination encrusted concrete previously used sheathing board use form raw,1
invention provides cellulosic fibrecomposite material comprising plastics b mixture fibrous glass reinforced grp preferably waste may comprise thermoset fibres methods recycling items made making composites using also provided products obtainable composite materials,1
needle shield remover medicament delivery device comprises metal tubular body proximal part distal b substantially circular crosssection arranged slot extending end least half length towards may flex radially outwards exert inwardly directed clamping force accommodated,1
useful articles produced shredded postindustrial scrap including postconsumer automotive interior trim parts obtained vehicles feedstock fluff mixed isocyanate prepolymer adhesive composition mixture may placed mold onto continuous web laminating rolls cure pressure curing step take place room elevated temperatures requires moisture either atmosphere present natural wood sheets luan composite boards currently adhered ureaformaldehyde phenolformaldehyde resins applications include structural nonstructural bulk heads roofs floors vertical walls used tractor trailers recreational marine vessels,1
method converting expended plastic water bottles beverage artificial landscape rocks edging blocks cutting flap empty bottle filling crushed food cans compacted sealing wire lath screws wrapping mason chicken coating bonding agent applying stucco brushing wet coloring pigmenting,1
method various kinds rubberreinforced styrene resin compositions good quality recovered small amount energy satisfactory yield without posing problem concerning environmental pollution recovering composition characterized conducting plastication step plasticated coagulation latex b mixed coagulant c obtain creamy substance mixing fed extruder undergone present mixture e draining water removed discharged volatilization volatile matters removal,1
method involves obtaining carbon fibers residue parts r obtain section cutting fiber semifinished material processed form lightweight component made fiberreinforced duroplastic eg polyolefin polyamide polycarbonate acrylic butadiene styrene using injection molding process layers adhesive agent added,1
present invention relates absorbent cores comprising recycled superabsorbent polymer particles previously immobilized solidified thermoplastic composition separated using supercritical fluid carbon dioxide propane mixtures thereof,1
method manufacturing plastic acoustic material including transforming precursor granules filling mold forming air pockets heating thereby least partially melting cooling allowing melted solidify around,1
method creating material sheet fibers includes steps feeding layer loose conveyor applying adhesive capable mechanically bonding conveying mold allowing applied expand containing manner cause permeate throughout harden desired thickness,1
invention relates fibrereinforced plastic objects comprising rest fraction recycling based weight object  wt% b mineral fibres c additives wherein comprises recycled polyethylene polypropylene plastics less inorganic impurities methods producing said fibre reinforced use improve mechanical properties addition particularly glass wool stone polymer greatly improves otherwise inferior resulting find interesting applications,1
structural component fabrication form cable cords may formed mechanically cutting wastereinforced used tires fan belts conveyor strips attaching end metal staples bonding agent create reinforced rubber cord strength encapsulated virgin recycled thermoplastics said would reinforcement concrete cement adobe asphalt process incorporate extruder obtain molten state thru crosshead die molds injection molding using use placed forms drying occurred sidewalls tiedown “s” hooks attachment devices emphasized abstract provided comply rules requiring allow search reader quickly ascertain subject matter technical disclosure submitted understanding interpret limit scope meaning claims,1
process making solid component recycled powder coat provided include providing material second thereafter mixed produce coatsecond mixture coalsecond processed order polymer containing precursor processing granulating densifying produced placed within molding machine molded injection extrusion blow,1
molding system forming article composite material including track mold supported defining cavity injection tube adjacent fluid communication fluidly connected source wherein fed via adapted move progressively increasing volume,1
disclosed novel photodegradable polymeric plastic compositions comprising least one organic polymer copolymer two different aromatic carbonyl photosensitizers,1
shaped containers fabricated material comprising biodegradable thermoplastic oxyalkanoyl polymers eg epsiloncaprolactone naturally occurring product fir bark said possessing germination medium optionally seed seedling therein,1
invention provides oral dosage forms therapeutic agents digestive enzymes subject degradation loss activity gastric ph compositions methods preparing capsules components formulated composition comprising plastic homogeneous mass fluid impervious material cellulosic derivatives collagenous weight diluent selected group consisting water lipid melting point mammalian body temperature miscible solvent procollagen collagen elastin formed finished relatively less fat watersoluble protein prior art dependent enteric coat materials cellulose acetate phthalate may incorporated level time administration activator capable dissolving capsule wall allowed contact interior surface case outer walls nonenzymatic alkaline buffer applied proteolytic enzyme employed dissolve,1
blend comprising weight percent biodegradable thermoplastic dialkanoyl polymer said reduced viscosity value least upwards characterized attributable recurring units formula or''oocrco wherein r represents divalent aliphatic hydrocarbon radical r'' group consisting radicals oxahydrocarbon naturally occuring product based total,1
film use agricultural mulch degrades substantially disintegrates volition within growing season,1
container deteriorates prolonged exposure moisture oxygen atmospheric environment aid biological agents material organic components nutrients fungi various bacteria bring decomposition composed filler peat phenolic resin impregnated metallic salt fatty acid process transforms rich substance enhances soil characteristics,1
group degradable polymer compositions including admixtures ethylenecarbon monoxide copolymer defined proportions high density polyethylene linear low polypropylene disclosed useful forming article carriers containers closures foodtrays like show excellent mechanical structural properties controlled environmental degradability,1
disclosed environmentally degradable plastic composition comprising organic polymeric material dispersed therein least one amine compound readily autoxidizable substance,1
process dissolving binder fiber web bonded therewith includes treating polymeric carboxylate groups crosslinked via alkaline earth metal cations aqueous solution alkali salt form sparingly soluble complex anion removing freed,1
emulsifiable polyolefin combination improved emulsifiability thermal stability produced oxidizing thermally decomposed gaseous mixture containing oxygen ozone presence low molecular weight oxidized,1
plastic composition degradable influence weather light comprising material finely divided titanium dioxide specific surface g preferably obtained hydrolyzing sulfate aqueous solution predominantly anatase structure lightening power less present weight selected group consisting polyethylene ethylenevinyl acetate copolymer polystyrene polyvinyl chloride polyamides abspolymers,1
photodegradable hydrocarbon polymers susceptible attack common microorganisms exposure sunlight natural atmospheric environment include polystyrene polyethylene copolymers modified one chemical additives initiate enhance photodegradation,1
plastic compositions containing polyolefins substituted nitrogen heterocyclic compounds formula wherein x ch group hydrogen straight branched chain alkyl carbon atoms cyano nitro lower alkoxy fluorine dialkylamino phenyl halophenyl benzyl halobenzyl found photodegradable materials use example wrapping films agricultural mulching,1
disclosed environmentally degradable plastic composition comprising organic polymeric material dispersed therein least one ethylenically unsaturated alcohol ester derived therefrom readily autoxidizable substance,1
polymer composition process preparing provided degradable action ultraviolet light andor sunlight thermally component comprises thermoplastic polymers copolymers αolefins polystyrene contains photolyzable metal compound promoting degradation present least partially extremely finely divided state,1
degradable composition made polymer mono olefin carbon atoms styrene additive comprising derivative organic compound metal least two valence states benzoyl triazole,1
method promoting growth plants comprises applying surface plant medium exposed source ultraviolet radiation lightdegradable mulching film agricultural use comprising resin composition whose components consist essentially,1
photodegradation polyolefin compositions accelerated incorporation therein percent weight gamma pyrone ringcontaining compound chromone flavone xanthone films containing additives useful wrapping particularly agricultural mulching,1
acrolein together acrylic acid optional reactant polymerized heated moving aqueous hydrogen peroxide solution gradually adding monomers ndodecyl mercaptan resultant polymer exhibits improved biological degradability making especially useful detergents,1
photodegradable polyolefin compositions described comprise ppm iron form alkali metal preferably potassium trioxalatoferrate × mol per g photosensitizing organic compound triplet energy least kcalmol certain aromatic ketones aldehydes nitro derivatives dyestuffs hydrocarbons,1
disclosed environmentally degradable plastic composition comprising organic polymeric material dispersed therein least one trialkyl ortho ester readily autoxidizable substance,1
"process production shaped article melt extrusion thermally degraded isotactic polypropylene wherein thermal degradation carried presence percent weight based organosilicon compound organosilane organosiloxane therein least one siliconbonded group general r represents hydrogen atom monovalent hydrocarbon radical formula r'' r"" r""'' represent alkyl carbon atoms aralkyl q alkenyl aryl c mixtures b",1
polystyrene compositions including film foamed containing photodegradability enhancing agent organic carbonylcontaining compound preferably benzoin addition said prooxidant metal salt acetylacetonate thereby imparting markedly enhanced characteristics,1
photodegrading resinous composition comprises,1
resin compositions enhanced photodegradable characteristics prepared incorporating minor quantities cobalt salt naphthenate polymer blend containing least weight % filmforming ethylene polyethylenelike trans carbontocarbon double bonds chain thermal cracking specified ethylenevinyl acetate copolymers conditions set forth us pat,1
sheet plastic material protecting vegetative plant air water permeable sensitive light gradually disintegrated thereby,1
biodegradable aminotriazole polymers produced dihydrazides disclosed,1
