Class,Description
G11B2007/25308,information storage based relative movement record carrier transducer recording measured values way require playback apparatus using mechanically marked tape eg punched paper unit records magnetically cards transferring data one type another circuits coupling output reproducer radio receiver gramophone pickups like acoustic electromechanical transducers therefor reproducing optical means thermal beam radiation modifying properties physical structure lower power sensing carriers take precedence characterised shape selection material arrangement layers substrates comprising resins biodegradable polymers cellulose included
H01M6/52,electricity basic electric elements processes means eg batteries direct conversion chemical energy electrical primary cells manufacture thereof reclaiming serviceable parts waste recycling
H05K2203/178,printed circuits casings constructional details electric apparatus manufacture assemblages electrical components indexing scheme relating processes manufacturing covered postmanufacturing demolishing eg recycling reverse engineering destroying security purposes using biodegradable materials
H04M1/0287,telephonic communication circuits controlling apparatus via telephone cable involving switching substation equipment eg use subscribers subscriber services facilities provided exchanges prepayment coin boxes current supply arrangements constructional features sets portable cordless phones mobile bar type handsets transmitters receivers speakers microphones disposable recyclable electric switches relays selectors emergency protective devices contact cables electrolytic selfinterrupters circuit arrangements switching electronic means without contactmaking details covered groups using recyclable materials eg easier recycling minimising packing material
Y02W30/62,climate change mitigation technologies related wastewater treatment waste management solid reuse recycling recovery plastics rubber
Y02P20/143,climate change mitigation technologies production processing goods relating chemical industry feedstock recycled material eg plastics
Y10S525/938,synthetic resins natural rubbers  part class series polymer degradation
Y02W30/50,climate change mitigation technologies related wastewater treatment waste management solid reuse recycling recovery
Y10S156/936,adhesive bonding miscellaneous chemical manufacture apparatus delaminating means adapted specified article preparation post consumer recycling container component eg glass bottle plastic
Y10S260/43,chemistry carbon compounds promoting degradability polymers
Y10S526/914,synthetic resins natural rubbers  part class series polymer degradation synthetic resins natural rubbers  part class series cellular product enhanced degradability
Y10S264/911,plastic nonmetallic article shaping treating processes recycling consumer used articles products extruding material recycled product
Y02W30/80,climate change mitigation technologies related wastewater treatment waste management solid reuse recycling recovery packaging eg multilayer biopackaging
Y10S220/30,receptacles biodegradable
B29B17/0042,recovery plastics constituents waste material containing agglomeration compacting shaping parts  eg multilayered least one layer regenerated plastic
Y02W90/10,biopackaging eg packing containers made renewable resources bioplastics
Y02W30/52,climate change mitigation technologies related to wastewater treatment or waste management solid reuse  recycling recovery mechanical processing materials eg crushing shredding separation disassembly
B65D65/466,containers for storage or transport of articles materials  eg bags barrels bottles boxes cans cartons crates drums jars tanks hoppers forwarding accessories closures fittings therefor packaging elements packages wrappers flexible covers special type form envelopes shockabsorbing properties layered products per se see relevant classes applications disintegrable dissolvable edible bio photodegradable
